date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:43	162848/162848	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20May%202025%2006:54:42%20GMT	https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg	C:/My%20Web%20Sites/QuangCao/nhuongquyen.amslink.edu.vn/index766b.html	(from )
13:54:43	22/22	---M--	200	added ('OK')	text/plain	date:Tue,%2013%20May%202025%2006:54:42%20GMT	https://nhuongquyen.amslink.edu.vn/robots.txt		(from )
13:54:43	162848/162848	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20May%202025%2006:54:43%20GMT	https://nhuongquyen.amslink.edu.vn/	C:/My%20Web%20Sites/QuangCao/nhuongquyen.amslink.edu.vn/index.html	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
13:54:43	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20May%202025%2006:54:43%20GMT	https://static.ladipage.net/5e1fe31f6defce3c604ee258/logo-amslink-2019-02-20200122042406.png	C:/My%20Web%20Sites/QuangCao/static.ladipage.net/5e1fe31f6defce3c604ee258/logo-amslink-2019-02-20200122042406.0.delayed	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
13:54:43	96284/96284	---MCZ	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2004:56:13%20GMT	https://w.ladicdn.com:443/5e1fe31f6defce3c604ee258/logo-amslink-2019-02-20200122042406.png	C:/My%20Web%20Sites/QuangCao/w.ladicdn.com_443/5e1fe31f6defce3c604ee258/logo-amslink-2019-02-20200122042406.png	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
13:54:44	560793/560793	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2013%20May%202025%2004:07:50%20GMT	https://w.ladicdn.com/v4/source/ladipagev3.min.js?v=1743752224825	C:/My%20Web%20Sites/QuangCao/w.ladicdn.com/v4/source/ladipagev3.min6a23.js	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
13:54:44	27016/27016	---MCZ	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2013:41:50%20GMT	https://w.ladicdn.com/s400x400/5e1fe31f6defce3c604ee258/4940790-20210620172326.png	C:/My%20Web%20Sites/QuangCao/w.ladicdn.com/s400x400/5e1fe31f6defce3c604ee258/4940790-20210620172326.png	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
13:54:44	101728/101728	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2012%20May%202025%2006:56:33%20GMT	https://w.ladicdn.com/s1440x437/5e1fe31f6defce3c604ee258/banner-ladi-nq-hien-thuc-hoa-giac-mo-72-20240617065015-76bc2.jpg	C:/My%20Web%20Sites/QuangCao/w.ladicdn.com/s1440x437/5e1fe31f6defce3c604ee258/banner-ladi-nq-hien-thuc-hoa-giac-mo-72-20240617065015-76bc2.jpg	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
13:54:44	652595/652595	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2012%20May%202025%2006:56:35%20GMT	https://w.ladicdn.com/s2650x1250/5e1fe31f6defce3c604ee258/6032-20240612090811-mjbnz.jpg	C:/My%20Web%20Sites/QuangCao/w.ladicdn.com/s2650x1250/5e1fe31f6defce3c604ee258/6032-20240612090811-mjbnz.jpg	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
13:54:44	8904/8904	---MCZ	200	added ('OK')	image/png	date:Mon,%2012%20May%202025%2006:56:33%20GMT	https://w.ladicdn.com/s400x400/5e1fe31f6defce3c604ee258/3-20210620080940.png	C:/My%20Web%20Sites/QuangCao/w.ladicdn.com/s400x400/5e1fe31f6defce3c604ee258/3-20210620080940.png	(from https://nhuongquyen.amslink.edu.vn/?fbclid=IwY2xjawKPomVleHRuA2FlbQIxMABicmlkETFNWWJQcmpFU2NiYno2Wno2AR4p4FIWwR6f4lbBeIhF1j5I-ahETIX-LDE3wT9m7j2IpKUsb0Srzb27G2dqFg_aem_a0vmz_5Js0JAIldhRHS6Fg)
